product_id,product_name,category,subcategory,price,cost,supplier,sku,created_at,updated_at
101,Wireless Mouse,Electronics,Computer Accessories,29.99,15.50,TechSupply Co,WM-001,2024-01-01,2024-01-01
102,USB-C Cable 6ft,Electronics,Computer Accessories,12.99,5.25,TechSupply Co,UC-002,2024-01-01,2024-02-15
103,Laptop Stand,Electronics,Computer Accessories,45.99,22.00,OfficeGear Ltd,LS-003,2024-01-05,2024-01-05
104,Mechanical Keyboard,Electronics,Computer Accessories,89.99,45.00,TechSupply Co,MK-004,2024-01-10,2024-03-20
105,Blue Coffee Mug,Home & Kitchen,Drinkware,8.99,3.50,HomeGoods Inc,BCM-005,2024-01-15,2024-01-15
106,Ceramic Dinner Plate Set,Home & Kitchen,Dinnerware,34.99,16.00,HomeGoods Inc,CDP-006,2024-01-20,2024-01-20
107,Yoga Mat Premium,Sports & Outdoors,Fitness,39.99,18.50,FitLife Sports,YM-007,2024-02-01,2024-02-01
108,Running Shoes Size 10,Sports & Outdoors,Footwear,79.99,40.00,Athletic Pro,RS10-008,2024-02-05,2024-04-10
109,Water Bottle 32oz,Sports & Outdoors,Accessories,15.99,7.25,FitLife Sports,WB-009,2024-02-10,2024-02-10
110,Desk Lamp LED,Electronics,Lighting,34.99,17.50,TechSupply Co,DL-010,2024-02-15,2024-02-15
111,Notebook Pack of 5,Office Supplies,Stationery,12.99,5.00,OfficeGear Ltd,NB-011,2024-02-20,2024-02-20
112,Gel Pen Set,Office Supplies,Stationery,7.99,3.00,OfficeGear Ltd,GP-012,2024-03-01,2024-03-01
113,Backpack Laptop Compatible,Bags & Luggage,Backpacks,59.99,28.00,TravelMate Co,BL-013,2024-03-05,2024-03-05
114,Insulated Lunch Bag,Home & Kitchen,Food Storage,19.99,9.50,HomeGoods Inc,ILB-014,2024-03-10,2024-03-10
115,Wireless Earbuds,Electronics,Audio,69.99,35.00,TechSupply Co,WE-015,2024-03-15,2024-05-01
116,Phone Case iPhone 14,Electronics,Phone Accessories,24.99,10.00,TechSupply Co,PC14-016,2024-03-20,2024-03-20
117,Resistance Bands Set,Sports & Outdoors,Fitness,22.99,11.00,FitLife Sports,RB-017,2024-04-01,2024-04-01
118,Blender Pro Series,Home & Kitchen,Appliances,129.99,65.00,HomeGoods Inc,BP-018,2024-04-05,2024-04-05
119,Air Fryer 5Qt,Home & Kitchen,Appliances,99.99,50.00,HomeGoods Inc,AF-019,2024-04-10,2024-04-10
120,Gardening Gloves,Home & Garden,Tools,11.99,5.50,GreenThumb Ltd,GG-020,2024-04-15,2024-04-15
